"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","Carrick-on-Suir Town",..,0,..,0,0,..,..,..,..,..
" "," ","Cashel Town",..,0,..,0,0,..,..,..,..,..
" "," ","Clonmel Borough",..,0,..,0,0,..,..,..,..,..
" "," ","Tipperary Town",..,0,..,0,0,..,..,..,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,2,1
" "," ","Rest of South Tipperary",..,1,1,0,1,..,..,..,..,..
" "," ","Connacht",1,2,2,3,2,3,4,3,2,2
" "," ","Galway City",..,0,..,0,0,..,1,1,0,1
" "," ","Leitrim",..,0,..,0,0,1,..,..,0,0
" "," ","Mayo",1,1,1,1,1,..,1,1,1,1
" "," ","Ballina Town",..,1,..,0,0,..,..,..,..,..
" "," ","Castlebar Town",..,0,1,0,0,..,..,..,..,..
" "," ","Westport Town",1,0,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Mayo",..,0,..,1,1,..,..,1,..,..
" "," ","Roscommon",..,0,..,0,0,1,1,..,0,0
" "," ","Boyle",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,0,0,..,..,..,..,..
" "," ","Sligo",..,1,..,1,1,..,..,..,0,0
" "," ","Sligo Borough",..,0,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Sligo",..,1,..,1,1,..,..,..,..,..
" "," ","Galway County",..,0,1,1,0,1,1,1,1,0
" "," ","Ballinasloe Town",..,0,..,0,0,..,..,..,..,..
" "," ","Loughrea",..,..,..,0,0,..,..,..,..,..
" "," ","Tuam",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Galway",..,0,1,1,0,..,..,1,..,..
" "," ","Ulster (pt)",1,1,6,2,0,1,..,..,1,0
" "," ","Cavan",..,0,..,0,0,..,..,..,0,0
" "," ","Cavan Town",..,0,..,0,0,..,..,..,..,..
" "," ","Belturbet",..,..,..,0,0,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Cavan",..,0,..,0,0,..,..,..,..,..
" "," ","Donegal",1,0,2,1,0,..,..,..,0,0
" "," ","Buncrana Town",..,0,..,0,0,..,..,..,..,..
" "," ","Bundoran Town",..,0,..,0,0,..,..,..,..,..
" "," ","Letterkenny Town",..,0,..,0,0,..,..,..,..,..
" "," ","Ballyshannon",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Donegal",1,0,2,1,0,..,..,..,..,..
" "," ","Monaghan",..,1,4,1,0,1,..,..,1,0
" "," ","Carrickmacross Town",..,0,..,0,0,..,..,..,..,..
" "," ","Castleblaney Town",..,0,..,0,0,..,..,..,..,..
" "," ","Clones Town",..,0,..,0,0,..,..,..,..,..
" "," ","Monaghan Town",..,0,1,0,0,..,..,..,..,..
" "," ","Ballybay",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Monaghan",..,1,3,1,0,..,..,..,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Male"
" "," ","State",15,12,19,18,19,12,18,10,18,17
" "," ","Dublin City",4,1,..,0,1,3,2,1,2,2
" "," ","Fingal",..,1,2,0,1,..,..,..,1,0
" "," ","Balbriggan",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Fingal",..,..,..,..,1,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",..,0,1,1,1,..,..,1,0,2
" "," ","South Dublin",2,1,..,1,..,..,2,2,2,1
" "," ","Leinster",11,7,8,6,9,9,11,6,10,11
" "," ","Wicklow",1,0,..,0,1,1,..,..,1,0
" "," ","Arklow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bray Town",1,0,..,0,..,..,..,..,..,..
" "," ","Wicklow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Greystones",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Wicklow",..,0,..,0,1,..,..,..,..,..
" "," ","Carlow",1,0,1,0,..,..,2,..,1,0
" "," ","Carlow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Carlow",1,0,1,0,..,..,..,..,..,..
" "," ","Kildare",2,1,1,0,..,..,3,..,2,1
" "," ","Athy Town",..,0,..,0,..,..,..,..,..,..
" "," ","Naas Town",..,0,..,0,..,..,..,..,..,..
" "," ","Leixlip",..,..,..,0,..,..,..,..,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kildare",2,1,1,0,..,..,..,..,..,..
" "," ","Kilkenny",..,1,..,0,..,1,..,..,0,1
" "," ","Kilkenny Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",..,1,..,0,..,..,..,..,..,..
" "," ","Laois",..,0,1,0,..,1,..,..,0,0
" "," ","Mountmellick",..,..,..,0,..,..,..,..,..,..
" "," ","Portlaoise",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,0,..,..,..,..,..,..
" "," ","Longford",..,1,..,0,..,..,..,..,1,0
" "," ","Longford town",..,0,..,0,..,..,..,..,..,..
" "," ","Granard",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Longford",..,1,..,0,..,..,..,..,..,..
" "," ","Louth",..,0,..,0,1,1,..,1,0,3
" "," ","Drogheda Borough",..,0,..,0,1,..,..,..,..,..
" "," ","Dundalk Town",..,0,..,0,..,..,..,..,..,..
" "," ","Ardee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Louth",..,0,..,0,..,..,..,1,..,..
" "," ","Meath",..,0,1,1,..,..,1,..,0,0
" "," ","Kells Town",..,0,..,0,..,..,..,..,..,..
" "," ","Navan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Trim Town",..,0,1,0,..,..,..,..,..,..
" "," ","Rest of Co. Meath",..,0,..,1,..,..,..,..,..,..
" "," ","Offaly",1,0,..,0,3,..,..,..,0,0
" "," ","Birr Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tullamore Town",..,0,..,0,1,..,..,..,..,..
" "," ","Edenderry",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Offaly",1,0,..,0,2,..,..,..,..,..
" "," ","Westmeath",..,0,..,0,1,..,1,1,0,0
" "," ","Athlone Town",..,0,..,0,..,..,..,..,..,..
" "," ","Mullingar",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Westmeath",..,0,..,0,1,..,..,1,..,..
" "," ","Wexford",..,1,1,2,..,2,..,..,0,1
" "," ","Enniscorthy Town",..,0,..,0,..,..,..,..,..,..
" "," ","New Ross Town",..,0,..,0,..,..,..,..,..,..
" "," ","Wexford Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Gorey",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Wexford",..,1,1,2,..,..,..,..,..,..
" "," ","Munster",3,4,7,8,9,1,4,3,7,4
" "," ","Waterford County",..,0,..,0,..,..,..,1,1,0
" "," ","Dungarvan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Lismore",..,..,..,0,..,..,..,..,..,..
" "," ","Tramore",..,..,..,0,..,..,..,1,..,..
" "," ","Rest of Waterford",..,0,..,0,..,..,..,..,..,..
" "," ","Waterford City",..,0,..,0,..,..,..,..,0,0
" "," ","Clare",..,1,..,0,..,..,..,1,1,1
" "," ","Ennis Town",..,0,..,0,..,..,..,..,..,..
" "," ","Kilrush Town",..,0,..,0,..,..,..,..,..,..
" "," ","Shannon",..,..,..,0,..,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",..,1,..,0,..,..,..,1,..,..
" "," ","Cork City",..,0,1,1,1,..,1,..,0,0
" "," ","Cork County",1,1,2,5,6,..,2,1,1,2
" "," ","Cobh Town",..,0,1,0,..,..,..,..,..,..
" "," ","Fermoy Town",..,0,..,0,..,..,..,..,..,..
" "," ","Kinsale Town",..,0,..,0,..,..,..,..,..,..
" "," ","Midleton Town",..,0,..,0,..,..,..,..,..,..
" "," ","Youghal Town",..,0,..,1,..,..,..,..,..,..
" "," ","Clonakilty Town",..,0,..,0,..,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,1,..,..,..,..,..,..
" "," ","Macroom Town",..,0,..,0,..,..,..,..,..,..
" "," ","Mallow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cork",1,1,1,3,6,..,..,1,..,..
" "," ","Passage West",..,..,..,0,..,..,..,..,..,..
" "," ","Bandon",..,..,..,0,..,..,..,..,..,..
" "," ","Bantry",..,..,..,0,..,..,..,..,..,..
" "," ","Kerry",1,0,2,1,1,..,1,..,1,1
" "," ","Killarney Town",..,0,1,0,..,..,..,..,..,..
" "," ","Listowel Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tralee Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kerry",1,0,1,1,1,..,..,..,..,..
" "," ","Limerick City",1,0,..,0,..,..,..,..,1,0
" "," ","Limerick County",..,1,1,1,..,..,..,..,1,0
" "," ","North Tipperary",..,0,..,0,..,..,..,..,..,..
" "," ","Nenagh Town",..,0,..,0,..,..,..,..,..,..
" "," ","Templemore Town",..,0,..,0,..,..,..,..,..,..
" "," ","Thurles Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of North Tipperary",..,0,..,0,..,..,..,..,..,..
" "," ","South Tipperary",..,1,1,0,1,1,..,..,..,..
" "," ","Carrick-on-Suir Town",..,0,..,0,..,..,..,..,..,..
" "," ","Cashel Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clonmel Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Tipperary Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,1,0
" "," ","Rest of South Tipperary",..,1,1,0,1,..,..,..,..,..
" "," ","Connacht",1,1,1,3,1,2,3,1,1,2
" "," ","Galway City",..,0,..,0,..,..,..,..,0,1
" "," ","Leitrim",..,0,..,0,..,1,..,..,0,0
" "," ","Mayo",1,0,..,1,1,..,1,..,1,1
" "," ","Ballina Town",..,0,..,0,..,..,..,..,..,..
" "," ","Castlebar Town",..,0,..,0,..,..,..,..,..,..
" "," ","Westport Town",1,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Mayo",..,0,..,1,1,..,..,..,..,..
" "," ","Roscommon",..,0,..,0,..,1,1,..,0,0
" "," ","Boyle",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,0,..,..,..,..,..,..
" "," ","Sligo",..,1,..,1,..,..,..,..,0,0
" "," ","Sligo Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Sligo",..,1,..,1,..,..,..,..,..,..
" "," ","Galway County",..,0,1,1,..,..,1,1,0,0
" "," ","Ballinasloe Town",..,0,..,0,..,..,..,..,..,..
" "," ","Loughrea",..,..,..,0,..,..,..,..,..,..
" "," ","Tuam",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Galway",..,0,1,1,..,..,..,1,..,..
" "," ","Ulster (pt)",..,0,3,1,..,..,0,..,0,0
" "," ","Cavan",..,0,..,0,..,..,..,..,0,0
" "," ","Cavan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Belturbet",..,..,..,0,..,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cavan",..,0,..,0,..,..,..,..,..,..
" "," ","Donegal",..,0,1,1,..,..,..,..,0,0
" "," ","Buncrana Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bundoran Town",..,0,..,0,..,..,..,..,..,..
" "," ","Letterkenny Town",..,0,..,0,..,..,..,..,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Donegal",..,0,1,1,..,..,..,..,..,..
" "," ","Monaghan",..,0,2,0,..,..,..,..,0,0
" "," ","Carrickmacross Town",..,0,..,0,..,..,..,..,..,..
" "," ","Castleblaney Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clones Town",..,0,..,0,..,..,..,..,..,..
" "," ","Monaghan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",..,0,2,0,..,..,..,..,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Female"
" "," ","State",7,10,13,7,8,6,12,8,17,4
" "," ","Dublin City",..,1,1,0,..,..,..,1,3,0
" "," ","Fingal",2,0,2,0,..,1,1,1,3,1
" "," ","Balbriggan",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Fingal",..,..,..,..,..,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",..,0,1,0,..,1,1,..,0,0
" "," ","South Dublin",..,1,..,0,..,1,1,1,1,0
" "," ","Leinster",6,7,6,2,3,3,7,4,10,1
" "," ","Wicklow",1,1,1,1,..,..,..,..,0,0
" "," ","Arklow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bray Town",..,0,..,0,..,..,..,..,..,..
" "," ","Wicklow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Greystones",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Wicklow",1,1,1,1,..,..,..,..,..,..
" "," ","Carlow",..,0,..,0,..,..,2,..,1,0
" "," ","Carlow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Carlow",..,0,..,0,..,..,..,..,..,..
" "," ","Kildare",..,1,..,0,..,..,..,..,1,0
" "," ","Athy Town",..,0,..,0,..,..,..,..,..,..
" "," ","Naas Town",..,0,..,0,..,..,..,..,..,..
" "," ","Leixlip",..,..,..,0,..,..,..,..,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kildare",..,1,..,0,..,..,..,..,..,..
" "," ","Kilkenny",..,0,..,0,..,..,1,..,0,0
" "," ","Kilkenny Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",..,0,..,0,..,..,..,..,..,..
" "," ","Laois",..,0,..,0,..,..,..,..,0,0
" "," ","Mountmellick",..,..,..,0,..,..,..,..,..,..
" "," ","Portlaoise",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,0,..,..,..,..,..,..
" "," ","Longford",..,1,..,0,1,..,..,..,0,0
" "," ","Longford town",..,1,..,0,..,..,..,..,..,..
" "," ","Granard",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Longford",..,0,..,0,1,..,..,..,..,..
" "," ","Louth",..,0,..,1,1,..,..,..,0,0
" "," ","Drogheda Borough",..,0,..,1,..,..,..,..,..,..
" "," ","Dundalk Town",..,0,..,0,..,..,..,..,..,..
" "," ","Ardee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Louth",..,0,..,0,1,..,..,..,..,..
" "," ","Meath",..,2,..,0,1,..,..,..,0,0
" "," ","Kells Town",..,0,..,0,..,..,..,..,..,..
" "," ","Navan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Trim Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Meath",..,2,..,0,1,..,..,..,..,..
" "," ","Offaly",..,0,1,0,..,..,..,..,0,0
" "," ","Birr Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tullamore Town",..,0,1,0,..,..,..,..,..,..
" "," ","Edenderry",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Offaly",..,0,..,0,..,..,..,..,..,..
" "," ","Westmeath",..,0,..,0,..,..,..,1,0,0
" "," ","Athlone Town",..,0,..,0,..,..,..,..,..,..
" "," ","Mullingar",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Westmeath",..,0,..,0,..,..,..,1,..,..
" "," ","Wexford",3,0,..,0,..,..,1,..,1,0
" "," ","Enniscorthy Town",..,0,..,0,..,..,..,..,..,..
" "," ","New Ross Town",..,0,..,0,..,..,..,..,..,..
" "," ","Wexford Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Gorey",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Wexford",3,0,..,0,..,..,..,..,..,..
" "," ","Munster",..,1,3,4,4,1,4,2,5,3
" "," ","Waterford County",..,0,1,0,..,..,..,1,1,0
" "," ","Dungarvan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Lismore",..,..,..,0,..,..,..,..,..,..
" "," ","Tramore",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Waterford",..,0,1,0,..,..,..,1,..,..
" "," ","Waterford City",..,0,..,0,..,..,..,..,0,0
" "," ","Clare",..,0,..,0,1,..,1,..,0,1
" "," ","Ennis Town",..,0,..,0,..,..,..,..,..,..
" "," ","Kilrush Town",..,0,..,0,..,..,..,..,..,..
" "," ","Shannon",..,..,..,0,..,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Clare",..,0,..,0,1,..,..,..,..,..
" "," ","Cork City",..,0,..,0,..,..,..,..,0,0
" "," ","Cork County",..,1,1,1,1,1,1,..,2,1
" "," ","Cobh Town",..,0,..,0,..,..,..,..,..,..
" "," ","Fermoy Town",..,0,..,0,..,..,..,..,..,..
" "," ","Kinsale Town",..,0,..,0,..,..,..,..,..,..
" "," ","Midleton Town",..,0,..,0,..,..,..,..,..,..
" "," ","Youghal Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clonakilty Town",..,0,..,0,..,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,0,..,..,..,..,..,..
" "," ","Macroom Town",..,0,..,0,..,..,..,..,..,..
" "," ","Mallow Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cork",..,1,1,1,1,..,..,..,..,..
" "," ","Passage West",..,..,..,0,..,..,..,..,..,..
" "," ","Bandon",..,..,..,0,..,..,..,..,..,..
" "," ","Bantry",..,..,..,0,..,..,..,..,..,..
" "," ","Kerry",..,0,..,0,..,..,1,..,1,0
" "," ","Killarney Town",..,0,..,0,..,..,..,..,..,..
" "," ","Listowel Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tralee Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Kerry",..,0,..,0,..,..,..,..,..,..
" "," ","Limerick City",..,0,1,0,..,..,..,..,0,0
" "," ","Limerick County",..,0,..,1,2,..,1,..,0,0
" "," ","North Tipperary",..,0,..,2,..,..,..,1,..,..
" "," ","Nenagh Town",..,0,..,0,..,..,..,..,..,..
" "," ","Templemore Town",..,0,..,0,..,..,..,..,..,..
" "," ","Thurles Town",..,0,..,0,..,..,..,1,..,..
" "," ","Rest of North Tipperary",..,0,..,2,..,..,..,..,..,..
" "," ","South Tipperary",..,0,..,0,..,..,..,..,..,..
" "," ","Carrick-on-Suir Town",..,0,..,0,..,..,..,..,..,..
" "," ","Cashel Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clonmel Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Tipperary Town",..,0,..,0,..,..,..,..,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,1,1
" "," ","Rest of South Tipperary",..,0,..,0,..,..,..,..,..,..
" "," ","Connacht",..,1,1,0,1,1,1,2,1,0
" "," ","Galway City",..,0,..,0,..,..,1,1,0,0
" "," ","Leitrim",..,0,..,0,..,..,..,..,0,0
" "," ","Mayo",..,1,1,0,..,..,..,1,0,0
" "," ","Ballina Town",..,1,..,0,..,..,..,..,..,..
" "," ","Castlebar Town",..,0,1,0,..,..,..,..,..,..
" "," ","Westport Town",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Mayo",..,0,..,0,..,..,..,1,..,..
" "," ","Roscommon",..,0,..,0,..,..,..,..,0,0
" "," ","Boyle",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,0,..,..,..,..,..,..
" "," ","Sligo",..,0,..,0,1,..,..,..,0,0
" "," ","Sligo Borough",..,0,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Sligo",..,0,..,0,1,..,..,..,..,..
" "," ","Galway County",..,0,..,0,..,1,..,..,1,0
" "," ","Ballinasloe Town",..,0,..,0,..,..,..,..,..,..
" "," ","Loughrea",..,..,..,0,..,..,..,..,..,..
" "," ","Tuam",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Galway",..,0,..,0,..,..,..,..,..,..
" "," ","Ulster (pt)",1,1,3,1,..,1,..,..,1,0
" "," ","Cavan",..,0,..,0,..,..,..,..,0,0
" "," ","Cavan Town",..,0,..,0,..,..,..,..,..,..
" "," ","Belturbet",..,..,..,0,..,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Cavan",..,0,..,0,..,..,..,..,..,..
" "," ","Donegal",1,0,1,0,..,..,..,..,0,0
" "," ","Buncrana Town",..,0,..,0,..,..,..,..,..,..
" "," ","Bundoran Town",..,0,..,0,..,..,..,..,..,..
" "," ","Letterkenny Town",..,0,..,0,..,..,..,..,..,..
" "," ","Ballyshannon",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Donegal",1,0,1,0,..,..,..,..,..,..
" "," ","Monaghan",..,1,2,1,..,1,..,..,1,0
" "," ","Carrickmacross Town",..,0,..,0,..,..,..,..,..,..
" "," ","Castleblaney Town",..,0,..,0,..,..,..,..,..,..
" "," ","Clones Town",..,0,..,0,..,..,..,..,..,..
" "," ","Monaghan Town",..,0,1,0,..,..,..,..,..,..
" "," ","Ballybay",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Monaghan",..,1,1,1,..,..,..,..,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
"15 - 19 years"
" ","Both sexes"
" "," ","State",101,107,81,61,59,66,86,58,56,65
" "," ","Dublin City",7,17,9,6,6,4,5,5,6,5
" "," ","Fingal",2,2,3,4,3,4,3,..,3,4
" "," ","Balbriggan",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Fingal",..,..,..,..,3,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",3,1,2,2,2,3,..,1,1,2
" "," ","South Dublin",5,5,1,3,3,2,3,3,2,3
" "," ","Leinster",41,51,38,28,25,42,33,22,25,33
" "," ","Wicklow",1,1,3,0,2,4,..,..,1,0
" "," ","Arklow Town",..,0,1,0,0,..,..,..,..,..
" "," ","Bray Town",..,0,1,0,1,..,..,..,..,..
" "," ","Wicklow Town",..,1,..,0,0,..,..,..,..,..
" "," ","Greystones",..,..,..,0,1,..,..,..,..,..
" "," ","Rest of Wicklow",1,0,1,0,0,..,..,..,..,..
" "," ","Carlow",..,1,..,3,1,4,1,1,1,1
" "," ","Carlow Town",..,0,..,3,0,..,..,..,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Carlow",..,1,..,0,1,..,..,1,..,..
" "," ","Kildare",1,8,1,1,2,7,6,4,1,5
" "," ","Athy Town",..,1,..,0,1,..,..,..,..,..
" "," ","Naas Town",..,0,..,0,0,..,..,..,..,..
" "," ","Leixlip",..,..,..,0,1,..,..,..,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Kildare",1,7,1,1,0,..,..,4,..,..
" "," ","Kilkenny",3,3,1,1,0,..,1,..,1,2
" "," ","Kilkenny Borough",1,1,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",2,2,1,1,0,..,..,..,..,..
" "," ","Laois",2,0,3,0,1,5,1,..,1,1
" "," ","Mountmellick",..,..,..,0,0,..,..,..,..,..
" "," ","Portlaoise",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,0,1,..,..,..,..,..
" "," ","Longford",1,0,..,0,1,1,..,2,2,1
" "," ","Longford town",..,0,..,0,1,..,..,1,..,..
" "," ","Granard",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Longford",1,0,..,0,0,..,..,1,..,..
" "," ","Louth",5,2,..,1,1,2,2,2,0,3
" "," ","Drogheda Borough",3,1,..,0,0,..,..,1,..,..
" "," ","Dundalk Town",1,1,..,0,1,..,..,1,..,..
" "," ","Ardee",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Louth",1,0,..,1,0,..,..,..,..,..
" "," ","Meath",1,2,3,2,1,3,2,2,4,0
" "," ","Kells Town",..,0,..,0,0,..,..,..,..,..
" "," ","Navan Town",..,0,..,0,0,..,..,1,..,..
" "," ","Trim Town",..,0,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Meath",1,2,3,2,1,..,..,1,..,..
" "," ","Offaly",4,2,3,3,1,..,2,..,0,0
" "," ","Birr Town",2,0,..,0,0,..,..,..,..,..
" "," ","Tullamore Town",..,1,..,1,0,..,..,..,..,..
" "," ","Edenderry",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Offaly",2,1,3,2,1,..,..,..,..,..
" "," ","Westmeath",2,0,1,0,0,1,3,..,1,1
" "," ","Athlone Town",1,0,..,0,0,..,..,..,..,..
" "," ","Mullingar",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Westmeath",1,0,1,0,0,..,..,..,..,..
" "," ","Wexford",4,7,8,2,1,2,4,2,1,5
" "," ","Enniscorthy Town",..,0,1,0,0,..,..,..,..,..
" "," ","New Ross Town",..,0,..,0,0,..,..,..,..,..
" "," ","Wexford Borough",..,0,..,0,0,..,..,..,..,..
" "," ","Gorey",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Wexford",4,7,7,2,1,..,..,2,..,..
" "," ","Munster",45,29,27,25,23,20,33,27,23,24
" "," ","Waterford County",2,2,3,0,1,1,1,1,1,2
" "," ","Dungarvan Town",..,0,2,0,0,..,..,1,..,..
" "," ","Lismore",..,..,..,0,0,..,..,..,..,..
" "," ","Tramore",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Waterford",2,2,1,0,1,..,..,..,..,..
" "," ","Waterford City",2,1,2,1,0,..,..,2,1,0
" "," ","Clare",2,1,2,3,2,..,3,6,6,4
" "," ","Ennis Town",1,0,..,0,0,..,..,3,..,..
" "," ","Kilrush Town",..,0,1,0,0,..,..,..,..,..
" "," ","Shannon",..,..,..,0,0,..,..,..,..,..
" "," ","Kilkee",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Clare",1,1,1,3,2,..,..,3,..,..
" "," ","Cork City",8,3,2,1,2,3,8,2,1,1
" "," ","Cork County",10,10,12,3,7,5,7,10,8,8
" "," ","Cobh Town",..,0,1,0,0,..,..,..,..,..
" "," ","Fermoy Town",1,0,1,0,0,..,..,..,..,..
" "," ","Kinsale Town",..,0,..,0,0,..,..,..,..,..
" "," ","Midleton Town",..,0,..,0,0,..,..,..,..,..
" "," ","Youghal Town",..,0,..,0,0,..,..,..,..,..
" "," ","Clonakilty Town",..,0,..,0,0,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,0,0,..,..,1,..,..
" "," ","Macroom Town",..,0,..,0,0,..,..,..,..,..
" "," ","Mallow Town",..,0,1,0,0,..,..,1,..,..
" "," ","Rest of Co. Cork",9,10,9,3,5,..,..,8,..,..
" "," ","Passage West",..,..,..,0,0,..,..,..,..,..
" "," ","Bandon",..,..,..,0,1,..,..,..,..,..
" "," ","Bantry",..,..,..,0,1,..,..,..,..,..
" "," ","Kerry",11,5,1,8,2,3,3,2,3,1
